BASKET_ID,words
28391385164,"[851188, 860776, 878302, 893362, 900802, 918733, 931411, 937566, 951855, 986947, 988900, 997309, 999063, 1009200, 1009482, 1015296, 1021394, 1023720, 1025650, 1026118, 1058214, 1072787, 1096573, 1113588, 1133018, 7167219, 8090537]"
28628921140,"[5569230, 8090521]"
28628921143,[1021394]
28732936177,[1021394]
28744575110,"[876285, 1026748, 1082185]"
28853440035,[820321]
28853440036,"[919089, 927681, 1026748, 1103247, 1117039]"
29094623095,"[848071, 878398, 883068, 890739, 891954, 908318, 919089, 927681, 934639, 935796, 937626, 947798, 950899, 956486, 981760, 982138, 1007269, 1021394, 1026748, 1082185, 1106523, 1109908, 1117039, 1120005, 9553048]"
29182925484,"[919089, 927681, 937566, 1026748, 1096317, 1103247, 1117039, 8090440]"
29194818247,"[830941, 834484, 848356, 854852, 857333, 870018, 877538, 883404, 898513, 908318, 919089, 925694, 931996, 934639, 937626, 941154, 947292, 947798, 956486, 969941, 976300, 981760, 1002681, 1004097, 1009343, 1009482, 1021394, 1022226, 1026748, 1032334, 1080331, 1082185, 1116682, 1117039, 1133018, 1139012, 5566716, 6979266]"
29250752089,"[919089, 982138, 1021394, 1026748, 1117039, 5979322]"
29311702203,"[958213, 1042438, 1045304, 1133018, 5573314, 7432861]"
29339416450,"[888111, 903602, 1033214]"
29352626587,[1033214]
29353948332,"[854852, 878398, 904360, 923746, 937626, 951590, 952317, 964977, 966684, 992621, 995785, 1009343, 1009482, 1026118, 1026748, 1027773, 1032584, 1068292, 1075820, 1082185, 1082310, 1084036, 1109370, 1116682, 1117039, 1120009, 1133018, 1139012]"
29577665044,"[912233, 959037, 1044724, 5573314]"
