word	vol_lv	count
BAKED BREAD/BUNS/ROLLS	5	81038
CHRISTMAS  SEASONAL	3	2766
FROZEN PIZZA	5	41687
SOFT DRINKS	5	102797
REFRGRATD JUICES/DRNKS	4	30209
CANDY - PACKAGED	4	31478
GREETING CARDS/WRAP/PARTY SPLY	4	10713
FRUIT - SHELF STABLE	4	21420
CIGARETTES	4	10074
MEAT - SHELF STABLE	4	23215
CORN	3	2739
BAKING NEEDS	4	14264
DINNER MXS:DRY	4	19531
CHICKEN	4	17498
PASTA SAUCE	4	14910
VEGETABLES - SHELF STABLE	5	41383
SEAFOOD - SHELF STABLE	4	8941
PNT BTR/JELLY/JAMS	4	12812
DRY NOODLES/PASTA	4	17176
CHEESE	5	73937
BACON	4	11428
BREAKFAST SAUSAGE/SANDWICHES	4	12836
BAG SNACKS	5	64233
LUNCHMEAT	5	34421
POTATOES	4	16078
SMOKED MEATS	4	4041
FLUID MILK PRODUCTS	5	80364
REFRGRATD DOUGH PRODUCTS	4	18650
YOGURT	5	44294
TROPICAL FRUIT	5	33899
COLD CEREAL	5	37322
COOKIES/CONES	4	22068
FRZN NOVELTIES/WTR ICE	4	13546
CRACKERS/MISC BKD FD	4	29239
MARGARINES	4	14221
DIETARY AID PRODUCTS	3	2254
GRAPES	4	10652
BERRIES	4	10622
DIAPERS & DISPOSABLES	4	4325
SNACK NUTS	4	5229
AUDIO/VIDEO PRODUCTS	3	984
DISHWASH DETERGENTS	4	6788
DRY MIX DESSERTS	4	9317
CANNED JUICES	4	28093
MILK BY-PRODUCTS	4	22757
PICKLE/RELISH/PKLD VEG	4	7039
DELI MEATS	4	24772
FRZN MEAT/MEAT DINNERS	5	54561
HOT DOGS	4	11776
BREAD	4	8572
HISPANIC	4	23702
AIR CARE	4	5429
SEAFOOD - FROZEN	4	8729
BAKED SWEET GOODS	4	27023
APPLES	4	14282
FROZEN MEAT	4	10125
MEAT - MISC	4	9352
SEAFOOD - MISC	3	1208
CONVENIENT BRKFST/WHLSM SNACKS	4	22295
FRZN BREAKFAST FOODS	4	10534
FRZN POTATOES	4	9491
EGGS	4	27832
CONDIMENTS/SAUCES	4	23231
DRY BN/VEG/POTATO/RICE	4	21097
REFRIGERATED	4	7413
COUPON/MISC ITEMS	4	4196
HOT CEREAL	4	6394
BEEF	5	47761
SOUP	5	45485
PAPER HOUSEWARES	4	10454
CANNED MILK	3	1871
PAPER TOWELS	4	10477
CHEESES	4	13739
PORK	4	14049
STONE FRUIT	4	6564
ISOTONIC DRINKS	4	9773
FLORAL-FLOWERING PLANTS	3	453
BABY FOODS	4	19358
SALADS/DIPS	4	7372
DINNER SAUSAGE	4	11923
ICE CREAM/MILK/SHERBTS	4	25654
ORAL HYGIENE PRODUCTS	4	9947
SUGARS/SWEETNERS	4	11138
CANDY - CHECKLANE	4	29241
BEERS/ALES	4	15528
FACIAL TISS/DNR NAPKIN	4	7711
MAGAZINE	4	9104
TOBACCO OTHER	3	830
COFFEE FILTERS	3	1652
HOUSEHOLD CLEANG NEEDS	4	10154
BROOMS AND MOPS	4	3520
HARDWARE SUPPLIES	3	1278
CANDLES/ACCESSORIES	3	1605
COFFEE	4	13179
LAUNDRY DETERGENTS	4	8439
FRZN VEGETABLE/VEG DSH	4	22372
PEPPERS-ALL	4	9865
BEANS - CANNED GLASS & MW	4	12357
DRY SAUCES/GRAVY	4	8136
FROZEN BREAD/DOUGH	4	7763
SQUASH	3	2363
VEGETABLES - ALL OTHERS	4	20194
VALUE ADDED FRUIT	4	6720
MISC. DAIRY	4	8882
WATER - CARBONATED/FLVRD DRINK	4	19307
PROCESSED	4	5270
SEAFOOD-FRESH	4	4141
ONIONS	4	16848
BROCCOLI/CAULIFLOWER	4	5009
VEGETABLES SALAD	4	11334
APPAREL	3	476
CARROTS	4	8472
MOLASSES/SYRUP/PANCAKE MIXS	4	5402
WATER	3	2106
PWDR/CRYSTL DRNK MX	4	14475
UNKNOWN	3	1087
BREAKFAST SWEETS	4	7745
LAUNDRY ADDITIVES	4	4865
PEARS	3	2048
WAREHOUSE SNACKS	4	8682
FD WRAPS/BAGS/TRSH BG	4	13784
CHARCOAL AND LIGHTER FLUID	3	2104
