word	vol_lv	count
885876	1	31
897611	2	70
905986	2	268
981760	4	9024
1029743	4	13931
1070015	3	1862
1105411	2	69
1127610	1	16
1129043	1	13
6391330	2	38
12188126	2	46
912141	1	20
1031099	1	26
1083554	1	6
5569919	1	8
863802	3	584
866227	3	2475
1059347	2	171
5567901	1	23
15928010	1	6
900319	1	17
932424	1	28
6534178	2	277
847982	3	2480
872098	1	21
896613	3	582
946995	3	323
1022254	3	1768
846241	2	200
851010	1	14
866140	3	919
904360	4	4850
942525	3	559
969494	2	136
990804	2	76
993913	2	156
1022848	2	132
1026118	3	2049
1029915	2	173
1044089	2	251
1078011	2	212
6919430	1	22
6919469	2	76
6979160	2	138
1126899	4	4374
8293805	2	41
824037	2	99
828106	3	534
839656	3	394
870515	3	952
878996	4	3594
887897	2	100
913671	2	128
920109	2	212
920967	2	38
961554	4	4799
963336	2	148
973135	2	175
979707	3	2737
983584	3	1763
986912	3	2374
1016709	2	297
1017887	2	102
1033372	2	115
1047076	2	143
1051468	3	338
1064213	2	215
1070538	3	422
1073028	1	29
1082185	4	29539
1120256	2	87
1134633	2	149
5569230	4	4697
5569845	3	1224
7443235	1	17
8119093	2	255
8358621	2	53
9803810	2	174
10121585	1	9
10121610	2	274
10121621	1	7
10285335	2	102
12132034	2	51
12326050	2	120
12524016	2	108
13512390	1	12
983795	2	242
852235	2	91
885290	3	1172
896666	2	75
909750	2	194
1018740	3	1026
1025265	1	19
1040807	3	1197
1048257	3	373
1089225	2	117
9245479	2	58
9878622	1	26
15737492	2	65
849559	2	66
854852	4	4095
862308	2	169
870780	3	631
874972	3	1221
880253	3	320
880427	3	583
895070	3	417
900185	2	214
905582	3	404
908318	3	1170
989157	2	190
997907	3	394
1010424	2	289
1033220	3	666
1090017	2	263
1107420	2	107
1117336	2	280
5566235	2	145
6551861	2	127
8293729	2	58
9553135	1	16
12263620	2	94
13007912	2	96
13877012	2	87
822965	2	162
834484	4	3297
901062	3	2145
923746	4	4807
950557	3	379
1058185	2	40
1129671	3	358
7441498	2	152
12731506	2	37
949294	2	282
820560	3	324
831223	2	56
840361	4	5280
846907	2	252
872137	3	983
903325	3	2789
911812	3	1039
964521	2	310
1003616	2	239
1015682	2	54
1022003	3	1717
1061982	2	177
1092303	3	383
1131506	2	77
6039759	2	115
8013899	2	57
17249861	1	19
826249	4	5436
952163	3	654
1012587	3	798
1033142	3	2393
1081177	4	3383
1098066	4	4993
1100658	3	434
1131344	3	450
7166863	2	79
7168055	2	65
834117	3	1264
961873	2	106
1073042	2	78
1083578	1	23
1137119	2	65
12330274	2	90
819927	3	555
5587938	2	306
907481	2	49
970202	3	748
5568661	2	68
826135	1	11
919596	2	154
1138189	3	667
6632907	2	41
14050460	2	85
14050461	2	66
819255	3	408
827180	3	573
855138	2	247
869577	3	495
890739	2	175
905592	2	74
906335	2	168
912137	3	326
916463	1	28
951590	4	6082
954167	2	36
957013	3	496
962850	2	64
976955	3	630
990680	1	28
998303	2	34
998444	3	669
999090	2	166
1000228	2	91
1011215	2	95
1017363	2	287
1027090	2	127
1038217	3	2202
1042907	3	823
1045080	2	269
1045285	2	148
1050851	3	964
1051379	2	200
1103741	2	285
1106301	3	912
1111883	1	6
1112238	3	750
1126890	2	172
1131526	2	48
1136867	1	24
5568758	2	143
5568789	2	106
5591038	3	455
5995628	2	60
6442594	3	483
7466252	2	132
10285002	2	53
12188159	1	27
12262978	2	267
13115592	1	5
13115937	2	119
13213239	2	40
15452836	2	51
1015548	2	67
12604556	1	12
12949804	1	5
13911280	1	7
13911620	1	15
866211	4	3641
891954	3	518
967205	2	283
1005186	4	3875
1062002	3	1171
870559	2	57
1098200	1	17
823775	2	312
832001	3	365
833724	3	424
837713	1	7
847469	1	6
850599	1	10
854754	3	480
857294	2	60
857736	2	98
858649	2	154
859592	3	326
862987	2	57
863688	2	33
868548	2	285
895131	1	19
898847	3	321
911388	2	120
911411	2	119
918368	3	712
920740	2	79
926692	2	183
957951	3	658
968687	2	245
975005	1	18
988835	2	134
1001823	1	30
1003188	3	1661
1046262	3	722
1087102	3	900
1087788	1	20
1117121	2	75
1122547	2	227
1127831	4	5238
5566956	2	57
5570513	2	70
5573375	2	95
6034857	3	2259
6514287	2	57
6602590	2	137
9297561	2	63
9420077	2	90
9553288	3	352
9676742	1	27
9677489	1	20
9835469	2	90
876042	2	82
963517	2	106
1004906	4	3562
1015141	2	159
1089023	2	118
1127328	2	311
5568179	2	33
889574	1	8
1042322	1	7
12695593	1	13
825365	3	473
842342	1	24
989101	3	1167
1019867	1	28
1110572	3	1437
6464086	3	362
12301391	1	26
12731544	3	361
14025540	1	19
1006483	2	184
1053019	2	49
871563	2	49
1133519	1	17
828713	2	60
847677	2	45
860776	4	4891
879635	3	353
942778	2	287
968774	3	334
1048472	2	191
1091499	3	387
1127732	2	76
1129949	2	64
5567702	2	270
6034577	2	194
9296847	2	104
1049735	3	326
1084968	2	208
1110793	3	725
1106523	4	9348
5568197	3	399
1009437	1	27
1089440	1	8
5592888	2	288
7441679	1	23
12263016	1	27
12811985	1	13
5996368	2	42
6463717	2	236
1330973	1	16
1360789	1	5
1405491	1	29
833715	3	1066
844165	3	2930
883404	4	6820
908531	4	4956
937791	3	532
967041	2	52
1028891	3	359
1065593	3	3112
1076875	3	817
1089066	2	189
1097704	2	65
1133018	4	7097
901452	2	191
969222	1	9
987838	3	347
1041259	3	1552
1083846	2	132
9297538	1	20
12948216	1	12
819594	2	245
831557	2	192
843339	2	55
862349	4	4016
887393	2	152
894593	1	14
896369	3	1371
921293	2	34
929893	2	48
955518	2	53
972763	1	15
1027311	1	28
1057102	3	442
1062525	2	32
1088003	1	13
